id_siswa,durasi_klik,waktu_modul,ulang_video,skor_kuis,login_frekuensi
S-0001,358.89,15.08,1,16.78,1
S-0002,1731.27,83.70,2,36.04,6
S-0003,321.16,13.88,0,14.86,3
S-0004,221.01,16.92,1,73.79,1
S-0005,1603.48,48.91,1,100.00,4
S-0006,299.19,20.04,1,50.83,0
S-0007,1232.29,53.30,2,91.96,7
S-0008,1029.65,52.64,1,100.00,5
S-0009,1750.08,75.25,8,43.77,6
S-0010,316.20,12.09,0,82.11,2
S-0011,2001.26,112.93,4,81.47,3
S-0012,443.09,16.36,1,37.40,2
S-0013,204.44,11.19,1,42.52,1
S-0014,255.97,17.55,1,60.36,0
S-0015,1599.68,117.53,5,70.75,4
S-0016,1641.05,93.15,6,96.13,6
S-0017,2253.13,79.37,3,70.86,5
S-0018,272.48,17.52,1,33.37,1
S-0019,369.21,17.37,0,54.30,2
S-0020,2217.47,79.76,4,68.23,6
S-0021,1354.49,52.40,1,100.00,6
S-0022,2008.35,90.23,2,49.18,4
S-0023,2821.01,119.14,7,53.52,5
S-0024,2394.12,87.62,2,56.30,3
S-0025,2336266.26,71.94,5,63.33,5
S-0026,381.82,17.72,1,24.03,0
S-0027,2129.23,88.38,8,60.99,5
S-0028,2278.09,105.71,6,88.53,4
S-0029,1804.83,44.57,0,100.00,5
S-0030,1874.94,92.79,8,49.97,5
S-0031,83.62,12.79,0,51.30,1
S-0032,187.71,18.48,0,33.75,2
S-0033,180.98,12.02,,10.00,1
S-0034,1742.49,58.84,7,54.69,3
S-0035,293.66,17.19,,54.36,0
S-0036,173.29,10.73,1,35.81,1
S-0037,3155.29,69.29,8,42.89,6
S-0038,1471.91,68.73,9,87.88,4
S-0039,2252.31,109.02,4,41.51,5
S-0040,3122123.06,88.95,9,53.21,5
S-0041,3341.18,96.22,9,81.61,6
S-0042,1371.38,39.81,1,85.02,4
S-0043,2600.51,95.03,6,62.89,5
S-0044,1833.90,107.51,3,63.57,5
S-0045,2317.80,96.17,,46.23,4
S-0046,1994.93,87.08,4,75.16,4
S-0047,2585.05,76.31,4,43.68,6
S-0048,338.98,10.18,1,10.00,2
S-0049,1000.55,31.21,2,86.25,4
S-0050,3002.59,86.00,6,78.38,7
S-0051,240.34,23.04,0,17.51,1
S-0052,512.09,9.90,0,43.70,1
S-0053,1884.59,41.64,2,94.52,3
S-0054,401.05,12.19,1,16.94,0
S-0055,1570.39,54.68,6,83.12,4
S-0056,123.91,21.78,1,49.50,0
S-0057,2508118.48,80.88,3,74.77,3
S-0058,1320.19,96.59,8,46.85,6
S-0059,1530.59,49.39,2,92.02,4
S-0060,384.08,13.23,0,37.15,1
S-0061,2327.97,92.00,,60.14,5
S-0062,382.81,6.93,1,10.00,3
S-0063,3100.36,86.11,2,53.52,6
S-0064,184.97,10.39,,56.21,1
S-0065,2832.88,98.77,4,75.49,5
S-0066,304.19,12.02,1,34.94,3
S-0067,207.85,12.50,1,34.99,1
S-0068,2147400.69,109.04,4,47.21,4
S-0069,1355.22,60.47,2,81.29,4
S-0070,2080.13,92.16,5,60.27,4
S-0071,2468.67,75.62,5,51.97,5
S-0072,231.81,27.68,1,63.28,0
S-0073,329.20,9.06,0,27.30,1
S-0074,1816741.42,58.52,1,70.00,4
S-0075,408.13,16.30,1,11.05,1
S-0076,500.00,38.91,1,88.96,3
S-0077,1739.65,69.64,3,32.30,5
S-0078,106.72,22.37,0,32.20,2
S-0079,276.55,16.77,1,10.00,1
S-0080,2065781.28,119.30,5,67.91,6
S-0081,330.12,11.89,1,30.28,1
S-0082,246.08,13.89,1,48.78,0
S-0083,1490.01,61.99,2,91.90,4
S-0084,278.26,13.11,1,38.03,2
S-0085,2188.71,81.88,6,67.61,5
S-0086,2539.67,88.83,5,64.95,4
S-0087,1027226.10,40.76,0,97.67,3
S-0088,1492.88,-35.64,,87.13,6
S-0089,1039.10,43.13,0,81.98,4
S-0090,647.45,44.49,1,91.20,2
S-0091,1988.33,69.03,9,75.52,5
S-0092,994.53,43.34,1,95.28,6
S-0093,254.96,14.82,1,45.44,2
S-0094,2044.68,75.38,5,74.77,4
S-0095,987800.06,30.00,0,84.45,3
S-0096,285098.48,14.18,1,50.61,1
S-0097,432.55,19.69,0,47.66,1
S-0098,377886.71,15.64,1,49.80,2
S-0099,356783.61,12.96,0,69.16,1
S-0100,1682.41,44.59,2,87.19,4
S-0101,2507.54,75.06,6,40.43,4
S-0102,2301.94,83.50,,74.06,7
S-0103,221.80,17.21,0,53.68,2
S-0104,1190.82,-40.96,1,86.03,2
S-0105,2385.39,85.61,,50.99,5
S-0106,230.31,16.40,1,42.95,1
S-0107,1838.66,76.96,6,82.99,5
S-0108,457.48,20.08,0,41.59,2
S-0109,377.50,13.02,0,28.89,0
S-0110,2151.62,86.72,7,63.84,6
S-0111,1193.32,50.42,0,82.80,3
S-0112,1628.08,30.00,1,100.00,3
S-0113,132.72,14.17,1,64.51,2
S-0114,461067.44,16.92,,30.18,1
S-0115,2039.50,103.46,3,46.27,5
S-0116,225987.97,14.73,1,50.68,1
S-0117,274.80,-8.59,0,36.95,2
S-0118,289.48,14.02,0,36.39,1
S-0119,2086745.24,92.89,5,74.34,3
S-0120,1419.73,35.22,4,86.55,5
S-0121,177.72,17.67,0,34.28,2
S-0122,1388.24,55.57,2,80.88,4
S-0123,1253.11,30.00,1,94.54,3
S-0124,2472579.30,58.59,7,77.20,6
S-0125,1126.85,39.24,0,89.42,5
S-0126,332563.68,15.35,0,38.81,0
S-0127,309.19,10.09,1,26.50,1
S-0128,1573.33,51.65,1,83.81,3
S-0129,532.47,50.66,4,87.43,2
S-0130,356.79,12.05,1,23.44,0
S-0131,1196.26,37.75,1,92.42,4
S-0132,409.30,15.14,1,45.14,3
S-0133,1293137.33,39.00,2,95.64,5
S-0134,2760.79,66.92,8,81.01,6
S-0135,1269.68,37.72,1,96.22,4
S-0136,319.20,15.94,1,23.13,1
S-0137,2035.21,58.26,0,88.72,4
S-0138,796770.62,57.59,0,78.72,5
S-0139,1373.55,57.47,1,100.00,5
S-0140,3424.70,74.39,5,79.74,5
S-0141,2125.29,123.25,10,77.45,4
S-0142,234.53,17.80,0,35.78,0
S-0143,251.28,14.58,1,68.27,2
S-0144,1426.06,40.80,1,83.00,5
S-0145,2719.58,65.70,7,76.41,4
S-0146,1185.38,36.54,1,93.74,4
S-0147,3246462.71,111.59,6,64.97,5
S-0148,2411.44,86.32,8,62.69,6
S-0149,1371101.57,51.05,0,99.95,5
S-0150,1250.91,43.22,2,100.00,4
S-0151,296.99,12.12,0,52.47,0
S-0152,306.98,12.04,0,49.81,0
S-0153,2296.26,83.26,6,71.08,4
S-0154,111.16,19.22,0,31.48,1
S-0155,289.30,19.99,1,42.08,1
S-0156,1576399.51,34.13,2,89.34,5
S-0157,1944.05,85.42,,58.54,5
S-0158,1543.82,88.61,6,71.15,4
S-0159,2839.83,71.47,4,47.05,5
S-0160,1308.82,67.25,1,96.95,3
S-0161,244.33,14.13,1,45.39,3
S-0162,2221.09,101.50,7,42.13,6
S-0163,2384.01,82.10,4,72.54,6
S-0164,258.32,20.21,1,44.08,1
S-0165,366.12,21.43,1,27.98,0
S-0166,2730.39,109.49,,65.05,4
